Titre de la figure,Description de l'image,Type d'illustration,Numéro de page,Source
S.M. LA REINE ISABELLE,Portrait de Sa Majesté la Reine Isabelle II d'Espagne.,Gravure/Portrait,22,19
LE MARECHAL O'DONNELL DUC DE TÉTOUAN,"Portrait de S. E. le Maréchal Léopold O'Donnell, Comte de Lucena et Duc de Tétouan.",Gravure/Portrait,54,19
S.E.M.S.CALDERON COLLANTES,"Portrait de Saturnino Calderon Collantès, Ministre des Affaires Étrangères.",Gravure/Portrait,83,19
S.E.M. POSADA HERRERA,"Portrait de José de Posada Herrera, Ministre de l'Intérieur.",Gravure/Portrait,122,19
S. E. M. MAC-CROHON,"Portrait du Lieutenant-Général José Mac-Crohon, Ministre de la Marine.",Gravure/Portrait,158,19
S. E. M. FERNANDEZ NEGRETE,"Portrait de Santiago Fernandez Negrete, Ministre de Grâces et Justice.",Gravure/Portrait,189,19
S. E. M. LE MARQUIS DE CORVERA ET S. E. M. SALAVERRIA,Portraits du Marquis de Corvera (Travaux publics) et de Pedro Salaverria (Finances).,Gravure/Portraits,200,19
"LE GÉNÉRAL PRIM, COMTE DE REUS","Portrait du Général Juan Prim, Comte de Reus et Marquis de Castillejo.",Gravure/Portrait,260,19
Généalogie des Fihrites,"Arbre généalogique présentant la descendance d'Oqba ben Nafi el-Fihri, incluant des branches pour Khaled, Abderrahman, Elias et leurs descendants respectifs avec les dates de décès.",Graphique généalogique,230,20
"Généalogie des Beni Midrar, rois de Sijlamasa","Tableau schématique détaillant la lignée de la dynastie des Beni Midrar depuis Aboul-Qasem ben Semkou jusqu'à El-Moutazz Billah, avec les dates de règne.",Graphique généalogique,243,20
Généalogie des Fihrites,"Arbre généalogique détaillant la descendance d'Oqba ben Nafi El-Fihri sur plusieurs générations, incluant les dates de décès de certains membres de la famille.",Arbre généalogique,230,21
"Généalogie des Beni Midrar, rois de Sijlamasa","Tableau généalogique montrant la succession des souverains de la dynastie des Beni Midrar à Sijlamasa, avec leurs périodes de règne.",Arbre généalogique,243,21
Liste chronologique des souverains almohades,"Un tableau ou une liste structurée présentant les noms des quatorze souverains almohades accompagnés de leurs dates de règne respectives, de Mohammed Ibn Toumert à Idris El-Ouateq dit Abou Debbous.",Tableau chronologique,257,22
صومعة مسجد المنصورة بتلمسان,"Le minaret de la mosquée Mansoura, vestige des Mérinides à Tlemcen.",Photographie d'un monument historique,16,23
الساعة المائية بفاس,Vestiges de l'horloge hydraulique située dans le quartier Talaa à Fès.,Photographie,17,23
رسالة السلطان أبي سالم,Fac-similé d'une lettre du Sultan Abu Salim adressée à Bernat Cabrera en 1360.,Fac-similé de document,20,23
صورة نزول المسيحيين بالمهدية,Illustration montrant le siège de Mahdia par les Chrétiens et les Génois au XVe siècle.,Dessin/Illustration de manuscrit,31,23
اهتمام المغاربة بالصقور منذ القدم,Représentation visuelle de la fauconnerie au Maroc.,Dessin,36,23
رسم يمثل منسى موسى ملك مالي,"Portrait de Mansa Musa, roi du Mali, extrait de la carte sphérique de Dulcert de 1339.",Carte historique/Dessin,48,23
اسطراب,Représentation d'un astrolabe fabriqué par la famille Al-Battuti au Maroc.,Schéma/Dessin technique,52,23
أحد الأبواب القديمة لفاس الجديد,Vue d'une des anciennes portes de la ville de Fès Jdid.,Photographie/Dessin,61,23
خزانة الكتب بجامع القرويين,"Vue de la bibliothèque de la mosquée Al-Quaraouiyine à Fès, datant de 750 H.",Photographie,68,23
حروف باللاتينية,Inscriptions latines sur une cloche transformée en lustre à la mosquée Al-Quaraouiyine.,Dessin de caractères,78/79,23
الجامع الأعظم بقرطبة والجامع الأعظم بفاس,Comparaison visuelle entre la Grande Mosquée de Cordoue et celle de Fès.,Dessin,80,23
باب شالة من الداخل,Vue intérieure de la porte de la nécropole de Chellah.,Dessin,85,23
قاعة السفراء في غرناطة,Vue de la salle des ambassadeurs dans l'Alhambra de Grenade.,Photographie,91,23
رسوم ملوك بني نصر,Peintures représentant les rois nasrides dans la salle des rois à l'Alhambra.,Dessin/Peinture,95,23
باب الأنصاري بسلا,Dessin de la porte de l'arsenal (Bab al-Mrissa) à Salé.,Dessin historique,98,23
ضريح ابن الخطيب,Photographie de la tombe de l'érudit Lisan al-Din ibn al-Khatib à Fès.,Photographie,112,23
من آثار حروب السعيد,Vestiges de destructions datant de l'époque des guerres civiles sous le règne d'Abu Saïd.,Photographie de ruines,115,23
صورة من الجزر الخالدات,Paysage des îles Canaries.,Photographie,117,23
صورة من أزمور,Vue de la ville d'Azemmour.,Photographie,118,23
وثيقة بتاريخ 15 شعبan 703,Lettre diplomatique mérinide datée du 24 mars 1304.,Fac-similé de document,124,23
المنظر الداخلي لباب سبتة في مدينة تطوان,Vue de l'intérieur de Bab Sebta à Tétouan à partir d'un dessin ancien.,Dessin ancien,127,23
وثيقة بتاريخ 5 ربيع الأول 723,Document relatif à l'aide mérinide à l'Aragon pour la Sardaigne (14 mars 1323).,Fac-similé de document,132,23
وثيقة بتاريخ 22 رجب 724,Lettre du Sultan Abu Saïd à Jacques II (16 juin 1324).,Fac-similé de document,134,23
وثيقة بتاريخ 9 جمادى الثانية 745,Lettre du Sultan Abu al-Hassan à Ibn al-Hajjaj (18 octobre 1344).,Fac-similé de document,136,23
وثيقة بتاريخ 24 ذو الحجة 746,Document diplomatique daté du 17 avril 1346.,Fac-similé de document,138,23
وثيقة بتاريخ 28 ذي القعدة 750,Lettre d'Abu Inan (Faris) au roi d'Aragon (27 décembre 1349).,Fac-similé de document,140,23
وثيقة بتاريخ 28 رجب 752,Lettre du Sultan Faris concernant un incident de piraterie (20 septembre 1351).,Fac-similé de document,144,23
وثيقة بتاريخ 7 شعبان 761,Lettre du Sultan Abu Salim annonçant la conquête de Tlemcen (24 juin 1360).,Fac-similé de document,148,23
الأمير ضون فيرناندو,Portrait de l'infant portugais Ferdinand capturé à Tanger.,Dessin/Portrait,166,23
صورة ساحل نهر أرنو في بيزة,Vue des rives de l'Arno à Pise où se trouvent les archives d'État.,Photographie,179,23
وثيقة بتاريخ 3 صفر 759,Lettre du Sultan Abu Inan à la Reine Eléonore (15 janvier 1338).,Fac-similé de document,184,23
من سواري كنيسة مونريال بصقلية,Détails architecturaux des colonnes de la cathédrale de Monreale en Sicile.,Photographie,186,23
وثيقة بتاريخ 20 رجب 681,Lettre historique adressée par Abu Yusuf Yaqub au roi de France Philippe le Hardi (octobre 1282).,Fac-similé de document,192/193,23
ميناء مرسيليا,"Représentation du port de Marseille, point de liaison avec le Maroc.",Dessin/Gravure,194,23
ضريح سيدي بومدين,"Le mausolée de Sidi Boumediene, vestige mérinide à Tlemcen.",Photographie,207,23
الشيخ إبراهيم التازي,Portrait imaginaire de l'érudit et diplomate Ibrahim al-Tazi.,Dessin,213,23
مصحف بخط السلطان أبي الحسن,Page d'un Coran calligraphié par le Sultan Abu al-Hassan pour la mosquée Al-Aqsa.,Fac-similé de manuscrit,218,23
ابن بطوطة,Représentation imaginaire du célèbre voyageur marocain.,Dessin,228,23
أزمور,Vue de la ville d'Azemmour à l'époque portugaise.,Gravure historique,237,23
المنجنيق,Schéma d'une catapulte utilisée par les moudjahidines marocains.,Schéma technique,239,23
وثيقة خطاب من ملك فاس إلى ملك البرتغال,Lettre de Mohammed al-Burtughali au roi Emmanuel Ier (1514).,Fac-similé de document,248,23
وثيقة بتاريخ 3 ذو الحجة 933,Lettre de Moulay Messoud au Comte de Linhares (septembre 1527).,Fac-similé de document,251,23
وثيقة بتاريخ 3 يبراير 1549,Lettre d'Abu Hassoun à Charles Quint rédigée à Badis (en espagnol).,Fac-similé de document,263,23
وثيقة بتاريخ 13 يوليه 1550,"Lettre de Moulay Omar, émir de Debdou, au Duc de Medina Sidonia.",Fac-similé de document,265,23
نموذج من الكرفيلا البرتغالية,Schéma d'une caravelle portugaise utilisée lors de l'expansion maritime.,Schéma/Dessin,268,23
خريطة المغرب عن وثائق طوري دي طومبو,Carte historique du Maroc d'après les archives de la Torre do Tombo.,Carte,271,23
وثيقة بتاريخ 22 أبريل 1504,Lettre du roi Emmanuel Ier aux habitants d'Azemmour.,Fac-similé de document,280,23
وثيقة بتاريخ 21 محرم 940,Réponse du Sultan Wattasside Abu al-Abbas à François Ier (12 août 1533).,Fac-similé de document,292,23
اتفاقية باديس,Texte du traité commercial entre l'émir de Badis et Venise (1508).,Fac-similé de document,301/302,23
تأكيد استسلام السلطان أبي عبد الله الصغير,Acte d'abdication autographe de Boabdil face aux Rois Catholiques (juillet 1493).,Fac-similé de document,322,23
البدلة التي كان يرتديها عبد الله الصغير,Costume de Boabdil conservé au musée de Madrid.,Photographie d'objet,323,23
خريطة المغرب على عهد بني وطاس,Carte montrant le rétrécissement du territoire marocain sous les Wattassides.,Carte,327,23
Généalogie Alaouite,Document manuscrit dicté par le sultan Moulay Slimane détaillant la lignée de la dynastie alaouite.,Fac-similé de document manuscrit,10,24
Lettre du Sultan Ottoman au monarque marocain,Texte manuscrit d'une correspondance diplomatique de la part du Sultan Ottoman adressée au souverain du Maroc.,Fac-similé de document manuscrit,15,24
Partie du discours ottoman (1107/1196),Fragment d'un document officiel ottoman provenant des archives d'Istanbul.,Fac-similé de document manuscrit,19,24
Lettre marocaine traduite en turc (Rajab 1143),Traduction turque d'une lettre envoyée par le Sultan Moulay Abdallah au Sultan Mahmoud Ier.,Fac-similé de document manuscrit,24,24
Lettre du Sultan Sidi Mohammed ben Abdallah au Grand Vizir Ottoman,Document de présentation de l'ambassadeur Abdelkrim Ragoun daté de 1180 (1766).,Fac-similé de document manuscrit,27,24
Lettres de créance des ambassadeurs Mbarek ben Hammad et Haj Abdallah al-Sharbi,Documents officiels accréditant les envoyés du Sultan Mohammed ben Abdallah auprès du Sultan Abdul Hamid Ier (v. 1190/1777).,Fac-similé de document manuscrit,28,24
Discours du Sultan Abdul Hamid sur les corans ornés d'or,Réponse impériale ottomane concernant la demande marocaine de vente des bijoux ornant les corans de Médine.,Fac-similé de document manuscrit,32,24
Mosquée As-Sounna à Rabat,Lieu où a été reçu l'ambassadeur turc Ismaïl Effendi en 1785.,Photographie/Dessin,35,24
Partie du rapport d'Ismaïl Effendi,Extrait d'un rapport secret ottoman daté de 1201 (1787) décrivant l'influence du monarque marocain.,Fac-similé de document manuscrit,38,24
Lettre du Sultan Abdul Hamid au Sultan Sidi Mohammed ben Abdallah,Correspondance diplomatique importante datée de Joumada I 1201 (mars 1787).,Fac-similé de document manuscrit,39,24
Lettre reçue par le Sultan Sidi Mohammed ben Abdallah (1204/1790),Correspondance du Sultan Selim Ier confirmant la réception de messages via l'ambassadeur Barkash.,Fac-similé de document manuscrit,42,24
Lettre informant Moulay Slimane de l'attaque de Napoléon sur l'Égypte,Document daté de 1213 (1799) sollicitant l'aide marocaine contre l'invasion française.,Fac-similé de document manuscrit,45-46,24
La Grande Mosquée de Sousse,Représentation visuelle de la mosquée tunisienne en lien avec les relations diplomatiques.,Photographie/Dessin,46,24
L'ambassadeur tripolitain Haj Abd al-Rahman Agha,Représentation de l'envoyé de Tripoli reçu par le Sultan Mohammed ben Abdallah en 1790.,Dessin/Gravure,52,24
Le Maroc à l'époque Alaouite (Frontières),Carte montrant les frontières méridionales et orientales du Maroc au début de l'État Alaouite.,Carte,58,24
Lettres de Moulay Slimane à l'émir du Nigeria,Deux documents manuscrits datés de 1810 adressés à Othman ben Fodi (Nigeria).,Fac-similé de document manuscrit,63-64,24
Siège de la ville de Salé,Illustration du blocus naval de Salé par la flotte française au XVIIe siècle.,Gravure historique,70,24
L'ambassadeur marocain Muhammad Tamim,Portrait du premier envoyé marocain à la cour de France (1682).,Gravure/Portrait,73,24
Lettre de Moulay Ismaïl à Louis XIV (1095/1684),Correspondance critiquant la politique française concernant les captifs.,Fac-similé de document manuscrit,76,24
Château de Versailles,"Vue du palais royal français, lieu de réception des ambassadeurs marocains.",Photographie/Gravure,78,24
Audience donnée par l'Empereur du Maroc à l'Ambassadeur de France,Scène montrant Moulay Ismaïl recevant l'ambassadeur de Saint-Olon en 1693.,Gravure historique,79,24
"Abdallah ben Aïcha, ambassadeur du Maroc en France",Portrait de l'ambassadeur maritime marocain à Paris en 1699.,Gravure/Portrait,81,24
Signature de l'ambassadeur Ibn Aïcha,Reproduction de la signature autographe du diplomate en arabe.,Fac-similé de signature,82,24
La princesse française de Conti,Portrait de la princesse que Moulay Ismaïl avait envisagé de demander en mariage.,Peinture/Portrait,85,24
Lettre de Louis XV à la Sultane Khnata,"Traduction et original d'une lettre adressée à Khnata bent Bakkar, mère du sultan.",Fac-similé de document,89,24
Lettre de Mohammed III à Louis XV (1181/1767),Document relatif à l'arrivée de l'ambassadeur Breugnon pour le rachat des captifs.,Fac-similé de document manuscrit,92,24
Lettre de Mohammed III à Louis XV (1186/1772),Lettre confirmant la paix et mentionnant le soutien à l'Empire Ottoman.,Fac-similé de document manuscrit,93,24
Portrait de Thami Fennich,Représentation imaginaire de l'ambassadeur marocain à Paris.,Dessin/Portrait,94,24
Lettre de Mohammed III à Louis XVI,Correspondance concernant le rachat des captifs et l'égalité de traitement.,Fac-similé de document manuscrit,95,24
Lettre de Moulay Slimane au Conseil Exécutif Français (1213/1798),Correspondance concernant les agressions de corsaires français contre des navires marocains.,Fac-similé de document manuscrit,98,24
Lettre de Moulay Slimane à Napoléon Ier,Félicitations pour ses victoires et envoi de l'ambassadeur Idriss al-Rami en 1807.,Fac-similé de document manuscrit,100,24
Un des canons laissés par les Espagnols à Larache,Vestige militaire de l'occupation espagnole après la libération de la ville en 1689.,Photographie de vestige,106,24
Première lettre du Roi du Maroc au Roi d'Espagne (1765),Correspondance datée du 22 Chawwal 1178 adressée par Mohammed III à Charles III.,Fac-similé de document manuscrit,118,24
Lettre de l'émir Moulay Yazid au monarque espagnol,Document de l'année 1206 relatif à la paix et aux échanges diplomatiques.,Fac-similé de document manuscrit,125,24
Lettre du Sultan Moulay Hicham à Charles IV,Correspondance datée de 1206 (1792) sollicitant une aide militaire.,Fac-similé de document manuscrit,127,24
Portrait d'Ali Bey al-Abbassi,Portrait du célèbre voyageur et espion espagnol au Maroc.,Portrait historique,130,24
Forteresse de Fedala (Mohammedia),Représentation de l'établissement commercial espagnol créé sous Moulay Slimane.,Dessin/Gravure,132,24
Porteurs d'eau,Scène illustrant l'accueil de l'ambassadeur portugais à Marrakech en 1677.,Gravure historique,136,24
Ancienne image du mausolée de Sidi Belyout,Représentation ancienne d'un monument de Casablanca (Anfa).,Dessin/Gravure,139,24
Ancien dessin de la ville de Lisbonne,Vue panoramique historique de la capitale portugaise.,Gravure ancienne,139,24
Traces du Portugal à El Jadida (Mazagan),Vestiges architecturaux de la période d'occupation portugaise.,Photographie,143,24
Dernière clause du traité maroco-portugais,Fac-similé du 22ème article de la convention de 1187 (1773).,Fac-similé de manuscrit,143,24
Lettre de Sidi Mohammed ben Abdallah au Roi du Portugal (1188),Accréditation de l'ambassadeur Omar ben Daoudi.,Fac-similé de document manuscrit,145,24
Frappe de la monnaie,Illustration technique montrant le processus de frappe des pièces de monnaie.,Dessin/Schéma,146,24
Lettre de Moulay Slimane à la Reine du Portugal et du Brésil,Document diplomatique soulignant les liens entre le Maroc et les territoires portugais.,Fac-similé de document manuscrit,150,24
Lettre du Ministre des Affaires étrangères d'Ibn Othman (1213),"Correspondance destinée à son homologue portugais, retrouvée à Rio de Janeiro.",Fac-similé de document manuscrit,153,24
Sultan Moulay Ismaïl,Portrait imaginaire du sultan tel que représenté par les peintres européens contemporains.,Portrait/Gravure,159,24
Signature de Muhammad ben Haddou,Signature de l'ambassadeur marocain en Angleterre datée de 1682.,Fac-similé de signature,160,24
Lettre d'accréditation de Muhammad ben Haddou,Document officiel présenté à Charles II d'Angleterre en 1681.,Fac-similé de document manuscrit,161,24
Portrait de l'ambassadeur Muhammad ben Haddou,Représentation de l'envoyé marocain conservée à la bibliothèque royale britannique.,Portrait,162,24
Conférence médicale à Tanger,Illustration d'une rencontre entre médecins marocains et européens à Tanger.,Dessin historique,163,24
Lettre de Moulay Ismaïl au Roi Jacques II (1698),Célèbre lettre invitant le roi d'Angleterre à embrasser l'Islam.,Fac-similé de document manuscrit,165,24
Sceau du Roi Mohammed II (ben Ismaïl),Modèle des sceaux royaux utilisés pour authentifier les documents.,Empreinte de sceau,172,24
Signature de l'ambassadeur Adil,Fac-similé de la signature de l'envoyé marocain en Angleterre (v. 1762).,Fac-similé de signature,174,24
Lettre de Mohammed III au Roi George III (1766),Correspondance diplomatique entre les deux souverains.,Fac-similé de document manuscrit,175,24
Lettre de Moulay Slimane sur la tentative de récupération de Sebta (1810),Document stratégique adressé aux autorités britanniques.,Fac-similé de document manuscrit,179,24
Convention maroco-néerlandaise (1682),Traité de paix entre Moulay Ismaïl et le Prince d'Orange.,Fac-similé de document manuscrit,186,24
Lettre de Moulay Ismaïl aux États-Généraux (1683),Accréditation de Youssef Tolédano pour négocier la paix.,Fac-similé de document manuscrit,188,24
Traité maroco-néerlandais (1684),Version finale du traité de paix signé sous Moulay Ismaïl.,Fac-similé de document manuscrit,190,24
Lettre de Moulay Ismaïl aux États-Généraux (1690),Document relatif à la libération d'un navire hollandais.,Fac-similé de document manuscrit,192,24
Lettre du Sultan Moulay Abdallah aux États-Généraux (1729),Accréditation d'Isaac Meshquita.,Fac-similé de document manuscrit,194,24
Lettre de la Sultane Khnata aux États-Généraux (1729),Document rare émanant de la mère du Sultan Moulay Abdallah.,Fac-similé de document manuscrit,195,24
Portrait du Duc de Ripperda,Personnalité politique européenne s'étant réfugiée au Maroc.,Gravure/Portrait,196,24
Plaque de marbre de la Kasbah d'Agadir,Inscription bilingue (arabe/flamand) datant de 1746.,Photographie d'inscription,197,24
Convention maroco-néerlandaise (1752),Traité de paix signé sous Moulay Abdallah.,Fac-similé de document manuscrit,198,24
Lettre de Mohammed III à la communauté des États-Généraux (1172),Lettre d'amitié et annonce de l'envoi de l'ambassadeur R'zini.,Fac-similé de document manuscrit,200,24
Lettre de Mohammed III aux États-Généraux (1183/1769),Critique concernant la fourniture d'équipements militaires à des tiers.,Fac-similé de document manuscrit,202,24
Lettre du Sultan Moulay Yazid aux États-Généraux (1790),Confirmation de la poursuite des relations pacifiques après son accession au trône.,Fac-similé de document manuscrit,206,24
Lettre de l'émir Moulay Taïeb (1209/1794),Correspondance annonçant l'envoi d'un ambassadeur aux Pays-Bas.,Fac-similé de document manuscrit,207,24
Documents maroco-néerlandais divers,Série de correspondances diplomatiques et traités.,Fac-similé de documents,208,24
Lettre de Mohammed III à l'Empereur Joseph II (1784),Réponse du sultan marocain aux cadeaux de l'empereur d'Autriche.,Fac-similé de document manuscrit,214,24
L'ambassadeur Muhammad ben Abd al-Malik présentant ses lettres de créance,Scène de réception à la cour de Vienne par l'empereur Joseph II.,Gravure historique,216,24
Document d'Istanbul sur l'ambassade marocaine à Vienne,Document ottoman témoignant de l'intérêt porté à la diplomatie marocaine en Europe.,Fac-similé de manuscrit ottoman,217,24
Première et deuxième page de la convention maroco-autrichienne (1830),Traité de paix signé entre Moulay Abderrahman et l'Autriche.,Fac-similé de document manuscrit,221-222,24
Lettre de Moulay Slimane à l'Empereur d'Autriche (1218),Correspondance affirmant la poursuite de la paix initiée par son père.,Fac-similé de document manuscrit,224,24
Lettre de Moulay Slimane au César II (1805),Approbation du traité de paix et ajout de nouvelles clauses.,Fac-similé de document manuscrit,225,24
Dessin de l'ambassade de Flöckl à Marrakech (1830),Scène illustrant les pourparlers diplomatiques suite à la saisie d'un navire autrichien.,Dessin d'archives,227,24
Mausolée «Torba» Baba à Buda,Monument d'un chef soufi en Hongrie (actuel Budapest).,Photographie/Dessin,228,24
Portrait imaginaire du Sultan Moulay Rachid,Représentation du souverain réalisée par le graveur Wenceslaus Hollar en 1669.,Gravure/Portrait,229,24
Lettre de Mohammed III au Premier Ministre Russe (1778),Message au Comte Tchernychev concernant l'ouverture des ports aux navires russes.,Fac-similé de document manuscrit,231,24
Lettre de l'ambassadeur Ibn Abd al-Malik au Premier Ministre Russe,Notification de l'accord du sultan pour entamer des relations avec Catherine II.,Fac-similé de document manuscrit,233,24
Lettre à l'Impératrice de Russie (1196/1782),Correspondance de Mohammed III à Catherine II soulignant la paix en mer et sur terre.,Fac-similé de document manuscrit,236,24
Réponse de l'Impératrice de Russie à Mohammed III (1783),Document impérial russe en faveur de la liberté de commerce réciproque.,Fac-similé de document officiel,237,24
Traité maroco-danois (1),Clauses de l'accord commercial et maritime de 1166 (1753).,Fac-similé de document manuscrit,245,24
Traité maroco-danois (2),Suite des conditions de l'accord entre Frédéric V et l'émir Sidi Mohammed.,Fac-similé de document manuscrit,246,24
Lettre de Mohammed III au Roi du Danemark (1169/1756),Remerciements pour l'envoi de cadeaux et confirmation de l'ouverture des ports.,Fac-similé de document manuscrit,247,24
Mohammed III recevant une mission diplomatique danoise,Gravure montrant le sultan entouré de savants et de dignitaires recevant l'envoyé danois.,Gravure historique,248,24
Faucon,Illustration d'un rapace en lien avec l'échange de cadeaux de chasse entre le Maroc et le Danemark.,Dessin/Photographie,253,24
Mémoires du captif suédois (Marcus Berg),Couverture de l'ouvrage publié à Stockholm en 1757 relatant son esclavage à Fès.,Fac-similé de couverture de livre,257,24
Traité maroco-suédois (1176/1763),Accord de paix et de commerce entre Mohammed III et Adolphe-Frédéric.,Fac-similé de document manuscrit,258,24
"Le consul de Suède à Tanger, Jacob Gråberg de Hemsö",Portrait de l'auteur d'un célèbre ouvrage géographique sur le Maroc publié en 1834.,Portrait,261,24
Lettre de Moulay Zidane au Duc de Gênes (1700),Document manuscrit sollicitant la facilitation du voyage d'un résident génois.,Fac-similé de document manuscrit,266,24
Le Doge de Gênes remettant les instructions à ses ministres,Illustration historique des archives d'État de Gênes.,Gravure/Peinture,268,24
Décret de nomination de Chiappe au service du Makhzen (1784),Sultanat de Mohammed III nommant le Génois Francisco Chiappe comme interprète et intermédiaire.,Fac-similé de document manuscrit,270,24
Lettre du monarque marocain au gouverneur de Toscane (1767),Réclamation concernant le pillage d'un navire marchand marocain.,Fac-similé de document manuscrit,271,24
Lettre du Maroc à Venise (1765),Accompagnement du traité de paix après ratification par Mohammed III.,Fac-similé de document manuscrit,274,24
Lettre du Sultan Moulay Slimane au Duc de Venise (1795),Confirmation du renouvellement de la trêve et des relations amicales.,Fac-similé de document manuscrit,276,24
Lettre d'accréditation d'Ibn Othman comme ambassadeur à Naples (1781),Document présenté au Roi Ferdinand IV des Deux-Siciles.,Fac-similé de document manuscrit,280,24
Église San Giovanni à Palerme,Ancienne mosquée décrite par l'ambassadeur Ibn Othman lors de son séjour.,Photographie/Gravure,281,24
Décret de Moulay Slimane concernant la mission franciscaine (1794),Ordre royal garantissant la protection et l'exemption des taxes pour les moines catholiques.,Fac-similé de document manuscrit,285,24
Décret sur la création d'une ligne maritime liant le Maroc à l'Amérique (1786),Document de Mohammed III ordonnant de sonder les diplomates à Tanger sur ce projet.,Fac-similé de document manuscrit,292,24
Document (Lettre du Sultan au Roi d'Espagne),Annonce de la libération de captifs américains médiée par l'Espagne (1785).,Fac-similé de document manuscrit,296,24
Lettre de Mohammed III au Président George Washington,Confirmation de la conclusion du traité de paix et d'amitié en 1786.,Fac-similé de document manuscrit,298,24
Image du premier traité avec les États-Unis d'Amérique,Document officiel signé à Marrakech le 1er Ramadan 1200.,Fac-similé de document historique,299,24
Dessin de Tanger,"Vue panoramique de la ville de Tanger, capitale diplomatique, provenant des archives de Vienne.",Gravure/Dessin,303,24
Document de confirmation de la paix entre le Maroc et l'Amérique (1803),Décret de Moulay Slimane renouvelant l'engagement de son père.,Fac-similé de document manuscrit,307,24
Ancien bâtiment de la Légation des États-Unis d'Amérique,"Le plus ancien bien immobilier possédé par les États-Unis à l'étranger, offert par Moulay Slimane.",Photographie/Gravure,309,24
Lettre du Sultan Moulay Abderrahman à tous les consuls (1822),Circulaire annonçant son accession au trône et le maintien des traités existants.,Fac-similé de document manuscrit,310,24
Dessin de la ville de Dubrovnik,Représentation de la république de Raguse sur la mer Adriatique.,Dessin/Gravure,314,24
Lettre de Mohammed III au Diwan de Dubrovnik (1780),Pardon accordé pour l'erreur commise lors du transport des pèlerins marocains.,Fac-similé de document manuscrit,315,24
Lettre de la Sublime Porte au Sultan Yazid ben Mohammed (1791),Recommandation en faveur des sujets chrétiens de Dubrovnik.,Fac-similé de manuscrit ottoman,318,24
Lettre de Moulay Slimane au Diwan de la République de Raguse (1795),Notification du règlement d'un litige concernant un navire saisi.,Fac-similé de document manuscrit,319,24
Lettre dans les archives d'Istanbul sur les îles grecques,Document de 1214 (1800) recommandant la protection des sept îles ioniennes.,Fac-similé de manuscrit,324,24
Ancienne mosquée à Athènes,Édifice religieux ottoman transformé en musée.,Dessin/Photographie,325,24
Dahir (décret royal) de Respect et Sauvegarde,"Fac-similé d'un décret royal scellé en faveur d'un rabbin de Meknès, provenant des Archives Bargach.",Fac-similé de document / Photographie,12,25
Un juif marocain et son épouse,Portrait photographique d'un couple juif marocain.,Photographie,15,25
Musiciens juifs d'Essaouira,Groupe de musiciens juifs à Essaouira (anciennement Mogador) à la fin du XIXe siècle.,Photographie,15,25
Maison de Maïmonide à Fès,"Vue de la maison historique de Maïmonide située à Fès, issue du fonds SIC-Miège.",Photographie,16,25
"Marché de Taroudant, 1920",Scène de vie quotidienne au marché de Taroudant en 1920.,Photographie,17,25
"Juifs priant pour la pluie, Essaouira, vers 1920",Rassemblement de la communauté juive d'Essaouira pour une prière rogatoire vers 1920.,Photographie,17,25
Le prince héritier Moulay Hassan à la synagogue Beth El,Le futur roi Hassan II assistant à l'office de Yom Kippour à la synagogue Beth El de Casablanca en 1959.,Photographie,18,25
Remise du Prix Martin Luther King à S.A.R. Lalla Hasna,"Cérémonie de remise du prix décerné à titre posthume au roi Mohammed V, New York, décembre 2015. On y voit la princesse, André Azoulay et des ambassadeurs.",Photographie,20,25
Les communautés juives du Maroc en 1950,Carte géographique du Maroc montrant la répartition et l'importance de la population juive par localité en 1950.,Carte,634,25
Le Maroc en 2016,Carte physique et administrative du Maroc actuel montrant les reliefs et les principales villes.,Carte,742,25
Sultan Moulay Hafid avec les autorités françaises à Rabat,Photographie du Sultan Moulay Hafid entouré d'officiers et de fonctionnaires français lors de son séjour à Rabat avant son abdication.,Photographie,195,26
Le Sultan Moulay Youssef reçoit le Roi des Belges,"Scène de réception officielle montrant le Sultan Moulay Youssef accueillant le Roi Albert Ier de Belgique et la Reine Elisabeth, avec la présence du Maréchal Lyautey.",Photographie,197,26
Inauguration de la mosquée de Paris en France,Photographie montrant le Sultan Moulay Youssef lors de la cérémonie d'inauguration de la Mosquée de Paris en 1926.,Photographie,200,26
Membres du mouvement national après leur sortie de prison en 1936,"Photographie de groupe de leaders nationalistes marocains, dont Allal El Fassi et Mohamed Hassan Ouazzani, après leur libération à Fès.",Photographie,204,26
Roosevelt avec le Roi Mohammed V,Photographie historique montrant le Président Franklin D. Roosevelt assis à table avec le Sultan Mohammed ben Youssef et le Prince Moulay Hassan lors de la conférence d'Anfa en 1943.,Photographie,207,26
Document historique de la demande d'indépendance,Fac-similé du Manifeste de l'Indépendance présenté le 11 janvier 1944.,Fac-similé de document,209,26
Le Roi Mohammed V lors de sa visite à Tanger,Image du Sultan Mohammed V prononçant son célèbre discours à Tanger en avril 1947.,Photographie,210,26
Soutien du groupe islamique au Maroc à l'ONU,Photographie montrant les représentants des pays arabes et islamiques (dont le Prince Fayçal d'Arabie Saoudite) à l'ONU en 1952 pour soutenir la cause marocaine.,Photographie,221,26
Le Roi Mohammed V en route vers l'exil,Image émouvante montrant le Sultan Mohammed V et ses fils montant dans l'avion pour l'exil en août 1953.,Photographie,223,26
